date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:19:03	20334/20334	---MCZ	200	added ('OK')	text/html	etag:W/%224f6a-VZtupyyBYP6H4ziod/KcNw%22	http://www.gotokeep.com/plans/58608dda5ab99b025fa6ffd9	D:/HTTrack/gotokeep/www.gotokeep.com/plans/58608dda5ab99b025fa6ffd9.html	(from http://www.gotokeep.com/workouthashtags/5756909c427077794c1bfde8)
13:19:03	16848/16848	---MCZ	200	added ('OK')	text/html	etag:W/%2241ca-iQehu2jqiV+pKfusH2IB4A%22	http://www.gotokeep.com/plans/58608fdb5ab99b025fa70026	D:/HTTrack/gotokeep/www.gotokeep.com/plans/58608fdb5ab99b025fa70026.html	(from http://www.gotokeep.com/workouthashtags/5756909c427077794c1bfde8)
13:19:03	21059/21059	---MCZ	200	added ('OK')	text/html	etag:W/%22523f-TXNVrfLf+okcRd7zzhCPQg%22	http://www.gotokeep.com/plans/586090685ab99b025fa70045	D:/HTTrack/gotokeep/www.gotokeep.com/plans/586090685ab99b025fa70045.html	(from http://www.gotokeep.com/workouthashtags/5756909c427077794c1bfde8)
13:19:04	18247/18247	---MCZ	200	added ('OK')	text/html	etag:W/%224743-lf14U7D/vrLqdMajo/ixGg%22	http://www.gotokeep.com/plans/57f9eef38164df83758f3ddb	D:/HTTrack/gotokeep/www.gotokeep.com/plans/57f9eef38164df83758f3ddb.html	(from http://www.gotokeep.com/workouthashtags/5756909c427077794c1bfde8)
13:19:04	17801/17801	---MCZ	200	added ('OK')	text/html	etag:W/%224585-zDUV+vNGMdykrsqFP0Q8Dg%22	http://www.gotokeep.com/plans/57f9f8b18164df83758f3e11	D:/HTTrack/gotokeep/www.gotokeep.com/plans/57f9f8b18164df83758f3e11.html	(from http://www.gotokeep.com/workouthashtags/5756909c427077794c1bfde8)
13:19:04	19268/19268	---MCZ	200	added ('OK')	text/html	etag:W/%224b40-vJ6iD9Q8UNbss6iRxOAiDQ%22	http://www.gotokeep.com/plans/57f9e9ef8164df83758f3dae	D:/HTTrack/gotokeep/www.gotokeep.com/plans/57f9e9ef8164df83758f3dae.html	(from http://www.gotokeep.com/workouthashtags/5756909c427077794c1bfde8)
13:19:05	30118/30118	---MCZ	200	added ('OK')	text/html	etag:W/%22752e-na08lCBQ4E0jRfITC4B9BA%22	http://www.gotokeep.com/plans/57466bae42fbb4e11b822d6e	D:/HTTrack/gotokeep/www.gotokeep.com/plans/57466bae42fbb4e11b822d6e.html	(from http://www.gotokeep.com/workouthashtags/5756909c427077794c1bfde8)
13:19:05	33094/33094	---MCZ	200	added ('OK')	text/html	etag:W/%2280b8-tRC0WZm1TrvKu5SPJ8mWrg%22	http://www.gotokeep.com/plans/57466d7342fbb4e11b822d7d	D:/HTTrack/gotokeep/www.gotokeep.com/plans/57466d7342fbb4e11b822d7d.html	(from http://www.gotokeep.com/workouthashtags/5756909c427077794c1bfde8)
13:19:06	30649/30649	---MCZ	200	added ('OK')	text/html	etag:W/%22772d-QCtf0yWBUR2gRuUD1pbZFg%22	http://www.gotokeep.com/plans/57466cc342fbb4e11b822d79	D:/HTTrack/gotokeep/www.gotokeep.com/plans/57466cc342fbb4e11b822d79.html	(from http://www.gotokeep.com/workouthashtags/5756909c427077794c1bfde8)
13:19:06	13810/13810	---MCZ	200	added ('OK')	text/html	etag:W/%2235ee-XML0dNnOdBFnXzZBUB8Ssg%22	http://www.gotokeep.com/plans/58affb5a4d123d21035a509e	D:/HTTrack/gotokeep/www.gotokeep.com/plans/58affb5a4d123d21035a509e.html	(from http://www.gotokeep.com/workouthashtags/58be13d2837258bc1a58800b)
